Inputs,Outputs,Nodes,Skip %,Optimizer,Best Val Acc (%),Best Epoch,Final Val Acc (%),Final Val Loss,CPU Load (%),Memory Used (MB),Memory Free (MB),Start Time,End Time,Avg Time (ns),Average Weight,Edge Count,Learning Rate,Dropout Rate,L2 Lambda,Adam Beta1,Adam Beta2,Adam Epsilon,RMSprop Decay,RMSprop Epsilon,Depth,Total Nodes,Layer Config,Architecture String,Teacher Params,Student Params,Baseline Params
22,2,22N-9N-9N-9N-9N-2N,25.0,Config3,50.0,188,43.0,0.7988739200347491,12.11,24,487,131611317614200,131611322606000,5272997.5,1.483926,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,6,60,"[22, 9, 9, 9, 9, 2]",22n-9n-9n-9n-9n-2o,,735,718
22,2,22N-10N-10N-10N-2N-22N-10N-10N-10N-2N-22N-10N-10N-10N-2N,25.0,Config2,58.5,520,56.00000000000001,0.609145401264743,12.35,188,323,115007157266700,115007162218800,5203058.0,1.495035,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,15,162,"[22, 10, 10, 10, 2, 22, 10, 10, 10, 2, 22, 10, 10, 10, 2]",22n-10n-10n-10n-2o,,687,718
22,2,22N-11N-11N-11N-2N,25.0,Config2,60.0,150,55.00000000000001,0.641632078172431,12.52,20,491,131606307331700,131606312035100,4881720.0,1.33694,22,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,5,57,"[22, 11, 11, 11, 2]",22n-11n-11n-11n-2o,,744,718
22,2,22N-14N-14N-2N-22N-14N-14N-2N-22N-14N-14N-2N-22N-14N-14N-2N,25.0,Config1,58.5,252,45.5,0.6357989485302817,12.61,186,325,115000998896500,115001003617100,5194106.5,0.859945,28,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,16,208,"[22, 14, 14, 2, 22, 14, 14, 2, 22, 14, 14, 2, 22, 14, 14, 2]",22n-14n-14n-2o,,697,718
22,2,22N-5N-5N-5N-5N-5N-5N-5N-2N-22N-5N-5N-5N-5N-5N-5N-5N-2N,25.0,Config6,57.49999999999999,49,51.0,0.6022343789142149,12.25,24,487,115070513303400,115070519041700,5225913.0,1.15759,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,18,118,"[22, 5, 5, 5, 5, 5, 5, 5, 2, 22, 5, 5, 5, 5, 5, 5, 5, 2]",22n-5n-5n-5n-5n-5n-5n-5n-2o,,653,718
22,2,22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N-22N-6N-6N-6N-6N-6N-6N-2N,25.0,Config5,56.00000000000001,662,55.50000000000001,0.5888659682745869,12.38,18,493,115064322407200,115064327579400,5631738.0,1.405636,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,32,240,"[22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2, 22, 6, 6, 6, 6, 6, 6, 2]",22n-6n-6n-6n-6n-6n-6n-2o,,682,718
22,2,22N-7N-7N-7N-7N-7N-2N-22N-7N-7N-7N-7N-7N-2N-22N-7N-7N-7N-7N-7N-2N-22N-7N-7N-7N-7N-7N-2N,25.0,Config4,58.5,363,49.5,0.5751794319464487,12.3,14,497,115057889508600,115057894827700,5626400.5,1.327999,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,28,236,"[22, 7, 7, 7, 7, 7, 2, 22, 7, 7, 7, 7, 7, 2, 22, 7, 7, 7, 7, 7, 2, 22, 7, 7, 7, 7, 7, 2]",22n-7n-7n-7n-7n-7n-2o,,697,718
22,2,22N-8N-8N-8N-8N-2N-22N-8N-8N-8N-8N-2N-22N-8N-8N-8N-8N-2N-22N-8N-8N-8N-8N-2N,25.0,Config3,57.49999999999999,747,53.0,0.6282540988808903,12.49,10,501,115051542425100,115051548320000,5528707.0,1.32716,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,24,224,"[22, 8, 8, 8, 8, 2, 22, 8, 8, 8, 8, 2, 22, 8, 8, 8, 8, 2, 22, 8, 8, 8, 8, 2]",22n-8n-8n-8n-8n-2o,,683,718
22,2,22N-10N-10N-10N-2N-22N-10N-10N-10N-2N,25.0,Config2,59.5,303,56.49999999999999,0.6314111402830385,12.87,8,503,115045265669700,115045270558200,5245945.5,1.75786,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,10,108,"[22, 10, 10, 10, 2, 22, 10, 10, 10, 2]",22n-10n-10n-10n-2o,,662,718
22,2,22N-11N-11N-11N-2N-22N-11N-11N-11N-2N,25.0,Config2,57.99999999999999,2,54.0,0.6678887337175554,12.48,44,467,131630192539200,131630197374500,4915761.0,1.391724,22,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,10,114,"[22, 11, 11, 11, 2, 22, 11, 11, 11, 2]",22n-11n-11n-11n-2o,,749,718
